530.0,
300.0,
320.0,
360.0,
340.0,
300.0,
360.0,
310.0,
370.0,
360.0,
400.0,
410.0,
310.0,
340.0,
360.0,
330.0,
340.0,
350.0,
300.0,
300.0,
320.0,
350.0,
310.0,
320.0,
320.0,
420.0,
330.0,
350.0,
320.0,
400.0,
300.0,
310.0,
1840.0,
380.0,
340.0,
310.0,
300.0,
330.0,
340.0,
300.0,
310.0,
360.0,
320.0,
340.0,
300.0,
300.0,
360.0,
360.0,
360.0,
340.0,
1040.0,
450.0,
310.0,
350.0,
340.0,
350.0,
820.0,
360.0,
340.0,
550.0,
330.0,
390.0,
310.0,
310.0,
320.0,
300.0,
360.0,
320.0,
360.0,
430.0,
360.0,
300.0,
330.0,
360.0,
340.0,
360.0,
410.0,
360.0,
350.0,
310.0,
310.0,
430.0,
400.0,
470.0,
670.0,
390.0,
410.0,
350.0,
330.0,
310.0,
360.0,
430.0,
310.0,
360.0,
310.0,
360.0,
320.0,
330.0,
350.0,
330.0,
378.8,
