Epoch, Loss,Epsilon,Training Ai Score
0,0.04943343279012137,0.9910009000002963,23.0
1,0.04591952127665281,0.9820018000005926,16.0
2,0.046211490954458714,0.9730027000008888,17.0
3,0.04621189858466387,0.9640036000011851,29.0
4,0.046406164523862564,0.9550045000014814,20.0
5,0.04644008579105139,0.9460054000017777,19.0
6,0.04636693202853203,0.937006300002074,38.0
7,0.04642571133673191,0.9280072000023702,16.0
8,0.04643453100995094,0.9190081000026665,26.0
9,0.046433217763900754,0.9100090000029628,20.0
10,0.04658855396211147,0.9010099000032591,22.0
11,0.04661280435025692,0.8920108000035554,25.0
12,0.046399576900278676,0.8830117000038517,40.0
13,0.04642528568059206,0.8740126000041479,23.0
14,0.046229212038218975,0.8650135000044442,20.0
15,0.046293745908141136,0.8560144000047405,23.0
16,0.046344446667543455,0.8470153000050368,21.0
17,0.046304734463989736,0.8380162000053331,25.0
18,0.04631014048308134,0.8290171000056293,11.0
19,0.046295151957869526,0.8200180000059256,15.0
20,0.04625809835750802,0.8110189000062219,14.0
21,0.04629580155313015,0.8020198000065182,32.0
22,0.046408218963444235,0.7930207000068145,21.0
23,0.04637726991176605,0.7840216000071107,15.0
24,0.046506851076745855,0.775022500007407,21.0
25,0.04653767923563719,0.7660234000077033,15.0
26,0.04646264771819115,0.7570243000079996,30.0
27,0.04654867577701807,0.7480252000082959,16.0
28,0.046438219245611166,0.7390261000085921,26.0
29,0.04647769392877817,0.7300270000088884,28.0
30,0.04644692983180285,0.7210279000091847,23.0
31,0.04648611672967672,0.712028800009481,28.0
32,0.04642903467430835,0.7030297000097773,21.0
33,0.046408611914515494,0.6940306000100736,25.0
34,0.04649291591197252,0.6850315000103698,21.0
35,0.04637330028861761,0.6760324000106661,32.0
36,0.04616108683704519,0.6670333000109624,41.0
37,0.046074353209137914,0.6580342000112587,22.0
38,0.046077554309368135,0.649035100011555,16.0
39,0.0462036303088069,0.6400360000118512,35.0
40,0.04617172940706863,0.6310369000121475,17.0
41,0.04609020071029663,0.6220378000124438,18.0
42,0.04617638238370419,0.6130387000127401,18.0
43,0.045989126320183274,0.6040396000130364,44.0
44,0.04586629862306403,0.5950405000133326,25.0
45,0.04587405578047037,0.5860414000136289,38.0
46,0.04582730818390846,0.5770423000139252,43.0
47,0.04594354218095541,0.5680432000142215,23.0
48,0.04585435526634083,0.5590441000145178,22.0
49,0.04583574755340815,0.550045000014814,19.0
50,0.04566265816539526,0.5410459000151103,33.0
51,0.04578154118359089,0.5320468000154066,21.0
52,0.045691756487620167,0.5230477000157029,18.0
53,0.04589332060664892,0.5140486000159992,26.0
54,0.04600946274101734,0.5050495000162954,21.0
55,0.046132803377509114,0.4960504000163481,24.0
56,0.0462978226276172,0.4870513000160893,20.0
57,0.04619628664404154,0.47805220001583054,26.0
58,0.046189990128576754,0.46905310001557177,31.0
59,0.04619559369534254,0.460054000015313,25.0
60,0.04607801033215982,0.4510549000150542,43.0
61,0.045947361621260646,0.44205580001479544,22.0
62,0.04607967581301928,0.43305670001453667,21.0
63,0.04603715923577547,0.4240576000142779,24.0
64,0.046006780873541354,0.4150585000140191,45.0
65,0.04596402318328619,0.40605940001376034,26.0
66,0.04587808764278889,0.39706030001350157,22.0
67,0.045879905213415624,0.3880612000132428,28.0
68,0.04583541065806291,0.379062100012984,33.0
69,0.04580198106467724,0.37006300001272524,29.0
70,0.04591555564254522,0.36106390001246647,24.0
71,0.045876509290933606,0.3520648000122077,27.0
72,0.045710211368549726,0.3430657000119489,23.0
73,0.045446645252406596,0.33406660001169014,34.0
74,0.04538367685526609,0.32506750001143137,54.0
75,0.04534055703878403,0.3160684000111726,28.0
76,0.04537657653840602,0.3070693000109138,38.0
77,0.0454315656170249,0.29807020001065504,19.0
78,0.045514733149111274,0.28907110001039626,55.0
79,0.04547119438499212,0.2800720000101375,30.0
80,0.04556198500576807,0.2710729000098787,27.0
81,0.04570293498933315,0.26207380000961994,30.0
82,0.04573403846919537,0.25307470000936116,37.0
83,0.045861360768973826,0.2440756000092851,28.0
84,0.045813590255366556,0.23507650000930386,70.0
85,0.045801564450562,0.2260774000093226,15.0
86,0.04579952381700277,0.21707830000934136,33.0
87,0.04539552877247333,0.20807920000936012,69.0
88,0.045397648318749324,0.19908010000937887,26.0
89,0.045339582353830336,0.19008100000939762,23.0
90,0.045264333330094816,0.18108190000941637,34.0
91,0.045341169059276584,0.17208280000943513,30.0
92,0.04528605467787071,0.16308370000945388,31.0
93,0.0453764053478837,0.15408460000947263,35.0
94,0.04536546691507101,0.14508550000949139,61.0
95,0.04512836483716965,0.13608640000951014,39.0
96,0.04525976887449067,0.1270873000095289,37.0
97,0.045425788941979406,0.11808820000954764,33.0
98,0.04558612549155951,0.1090891000095664,31.0
99,0.04547387992888689,0.10009000000958515,43.0
100,0.045505133530899446,0.1,29.0
101,0.04518893375247717,0.1,33.0
102,0.0451414260968566,0.1,40.0
103,0.04491218882352114,0.1,65.0
104,0.045034521243342306,0.1,24.0
105,0.045144509764015676,0.1,21.0
106,0.04509115456044674,0.1,45.0
107,0.044994228588044645,0.1,32.0
108,0.044903340771430586,0.1,29.0
109,0.04499700895398855,0.1,29.0
110,0.04499069726765156,0.1,28.0
111,0.04495245497971773,0.1,22.0
112,0.04494483044602814,0.1,26.0
113,0.045057936504483226,0.1,27.0
114,0.044991142530739305,0.1,22.0
115,0.04503723776936531,0.1,22.0
116,0.044919262939438716,0.1,38.0
117,0.045006991727650165,0.1,32.0
118,0.04501935734152794,0.1,23.0
119,0.045059744291007515,0.1,21.0
